rdfs:type,depth_1,depth_2
dbo:Company,757.4,55637.9
dbo:Activity,295.9,30302.3
dbo:Name,430.5,33277.5
dbo:Person,0,0
dbo:Actor,196.5,19461.4
dbo:Place,-
dbo:Publisher,249.5,17825.3
dbo:Genre,484.0,45802.4
dbo:Language,588.9,51483.0
dbo:Department,0,0
dbo:Software,487.8,46766.4
dbo:School,-
dbo:Type,0,0
dbo:AutomobileEngine,132.4,8535.3
dbo:BaseballSeason,87.2,6645.8
dbo:Device,374.3,32300.8
dbo:Engine,132.3,8555.4
dbo:FootballLeagueSeason,704.6,33663.6
dbo:FootballMatch,287.6,23428.5
dbo:GolfTournament,364.3,20361.5
dbo:GovernmentAgency,343.0,30046.6
dbo:GrandPrix,129.8,9839.1
dbo:Library,208.3,23083.7
dbo:MilitaryStructure,260.5,26012.6
dbo:MotorsportSeason,445.1,17151.0
dbo:Mountain,354.5,28119.0
dbo:NCAATeamSeason,322.8,26961.0
dbo:NationalFootballLeagueSeason,472.3,29928.6
dbo:Olympics,310.6,31064.5
dbo:Outbreak,85.1,12459.6
dbo:PowerStation,133.3,13231.2
dbo:RugbyLeague,203.8,15207.2
dbo:SoccerClubSeason,574.6,45686.4
dbo:SportsSeason,620.0,30881.9
dbo:TennisTournament,398.7,24841.6
dbo:YearInSpaceflight,371.7,19003.3
dbo:Academic,274.2,29261.2
dbo:AcademicJournal,200.6,17278.7
dbo:AdministrativeRegion,872.7,81261.8
dbo:Airport,461.1,34136.9
dbo:Album,1357.9,104161.2
dbo:AmericanFootballPlayer,353.8,31839.4
dbo:AmusementParkAttraction,244.6,28985.7
dbo:Anime,193.2,19784.4
dbo:Artist,574.3,51493.6
dbo:ArtistDiscography,967.1,38437.8
dbo:Artwork,227.9,24881.2
dbo:Asteroid,16.8,1741.2
dbo:Automobile,888.4,21534.0
dbo:Award,1202.8,77573.8
dbo:Band,777.5,71573.1
dbo:Bank,235.5,28659.2
dbo:BasketballTeam,429.5,24842.2
dbo:Beverage,203.3,24040.0
dbo:BodyOfWater,439.7,37533.8
dbo:Book,1454.2,76998.3
dbo:Bridge,222.1,23114.9
dbo:Building,864.8,66923.2
dbo:BusCompany,151.7,12030.6
dbo:ChemicalCompound,391.3,30422.3
dbo:City,1080.4,100851.2
dbo:CityDistrict,422.7,46366.1
dbo:ClassicalMusicComposition,177.1,14512.5
dbo:ComedyGroup,80.3,10633.1
dbo:Comic,264.6,22377.9
dbo:ComicsCharacter,394.3,33043.1
dbo:Convention,687.0,41317.0
dbo:Criminal,277.1,34470.5
dbo:CultivatedVariety,200.2,16295.7
dbo:CyclingRace,238.7,9216.8
dbo:CyclingTeam,172.5,7900.7
dbo:Disease,513.1,45037.9
dbo:Drug,342.6,27970.8
dbo:Earthquake,172.6,19416.8
dbo:Election,1186.3,67625.4
dbo:Enzyme,120.7,8889.8
dbo:EthnicGroup,1866.2,57910.8
dbo:EurovisionSongContestEntry,55.9,6967.9
dbo:Event,1208.9,45803.1
dbo:Film,659.8,59362.1
dbo:FilmFestival,435.4,21041.7
dbo:Food,398.3,38978.8
dbo:Game,168.3,20799.8
dbo:HistoricBuilding,393.5,35012.1
dbo:HistoricPlace,296.9,29859.2
dbo:HockeyTeam,403.0,24188.5
dbo:Holiday,377.8,51636.0
dbo:HorseRace,383.9,11704.8
dbo:Hospital,143.1,15060.4
dbo:Hotel,140.4,20208.9
dbo:HumanGene,176.2,10772.7
dbo:InformationAppliance,309.4,22528.0
dbo:Lake,281.6,25495.7
dbo:Legislature,469.0,17634.4
dbo:Magazine,382.0,33435.1
dbo:Manga,216.1,21726.7
dbo:MilitaryConflict,875.1,58853.8
dbo:MilitaryUnit,622.6,51755.4
dbo:Monument,142.7,18418.5
dbo:Museum,478.1,40027.7
dbo:Musical,343.7,38302.2
dbo:MusicalArtist,1065.7,84118.4
dbo:Newspaper,263.2,31327.2
dbo:Organisation,1154.1,67408.6
dbo:Pandemic,260.7,29983.0
dbo:Park,234.2,23785.2
dbo:PersonFunction,1170.6,69639.6
dbo:Pharaoh,138.0,10685.2
dbo:Philosopher,420.6,40840.0
dbo:Planet,290.8,22160.7
dbo:Plant,472.9,24955.7
dbo:Play,265.2,29358.1
dbo:PoliticalFunction,0,0
dbo:PoliticalParty,556.9,45791.5
dbo:Politician,675.1,69658.9
dbo:ProgrammingLanguage,308.8,21114.1
dbo:ProtectedArea,360.1,27596.1
dbo:Protein,274.8,15322.4
dbo:RacingDriver,918.3,23720.4
dbo:RadioHost,89.0,13666.1
dbo:RadioProgram,345.3,31267.2
dbo:RadioStation,350.9,40200.3
dbo:RailwayLine,366.2,25249.2
dbo:RecordLabel,512.7,34313.9
dbo:Religious,258.3,25852.1
dbo:Reptile,283.0,22444.2
dbo:ResearchProject,36.8,4651.5
dbo:Restaurant,100.7,13786.2
dbo:Road,523.0,33791.6
dbo:RoadJunction,95.0,11332.5
dbo:RollerCoaster,76.7,7387.8
dbo:Royalty,494.1,48246.9
dbo:RugbyClub,308.7,16582.8
dbo:RugbyPlayer,242.7,23321.6
dbo:Sales,0,0
dbo:Settlement,1133.9,90673.8
dbo:Ship,377.7,40683.4
dbo:ShoppingMall,115.0,11917.0
dbo:SoccerClub,684.2,40224.4
dbo:SoccerLeague,402.1,26802.8
dbo:SoccerTournament,823.1,42393.0
dbo:Song,362.2,40032.5
dbo:Sound,16.0,1868.0
dbo:SpaceMission,208.5,19072.3
dbo:SportsEvent,917.3,43870.4
dbo:SportsTeamMember,922.4,39377.1
