rdfs:type,depth_1,depth_2,depth_3
dbo:Company,1676.0,28591.0,468717.5
dbo:Activity,474.5,47681.0,1567209.5
dbo:Name,1367.0,100962.5,-
dbo:Person,4336.0,186130.5,-
dbo:Actor,461.5,51951.0,1520061.0
dbo:Place,2565.0,109507.5,-
dbo:Publisher,480.5,22814.0,736308.0
dbo:Genre,1039.5,92275.0,-
dbo:Language,2390.0,142561.0,-
dbo:Department,0,0,0
dbo:Software,1467.5,161899.0,-
dbo:School,1193.5,173009.5,-
dbo:Type,0,0,0
dbo:AutomobileEngine,306.0,14197.5,445034.5
dbo:BaseballSeason,210.5,31041.5,1157714.0
dbo:Device,837.5,38362.5,960054.0
dbo:Engine,306.0,14197.5,445034.5
dbo:FootballLeagueSeason,1046.0,47943.5,905353.0
dbo:FootballMatch,547.5,32016.0,992487.5
dbo:GolfTournament,567.5,8888.0,454067.0
dbo:GovernmentAgency,540.0,14390.0,585669.0
dbo:GrandPrix,194.5,14616.5,524333.5
dbo:Library,886.5,71194.5,1570803.0
dbo:MilitaryStructure,500.5,32017.5,1070683.0
dbo:MotorsportSeason,827.0,30819.0,770202.0
dbo:Mountain,524.5,45999.5,1284590.5
dbo:NCAATeamSeason,441.0,40111.0,1078954.0
dbo:NationalFootballLeagueSeason,710.5,36468.5,921039.5
dbo:Olympics,790.5,30974.0,1024418.0
dbo:Outbreak,344.0,44829.5,1338412.0
dbo:PowerStation,549.0,37568.5,1055905.5
dbo:RugbyLeague,383.0,28106.5,942094.0
dbo:SoccerClubSeason,1660.0,89749.0,-
dbo:SportsSeason,907.5,22973.0,579043.5
dbo:TennisTournament,475.5,31179.0,987002.5
dbo:YearInSpaceflight,714.5,38435.0,1105326.5
dbo:Academic,630.0,52211.0,1425165.5
dbo:AcademicJournal,1216.0,48137.0,1270245.0
dbo:AdministrativeRegion,1402.5,78791.5,-
dbo:Airport,809.5,58156.5,1496940.0
dbo:Album,2670.0,158107.5,-
dbo:AmericanFootballPlayer,581.0,46310.0,1237413.5
dbo:AmusementParkAttraction,1027.0,95976.0,-
dbo:Anime,380.5,30188.5,1007172.5
dbo:Artist,934.5,88832.5,-
dbo:ArtistDiscography,3619.0,69015.0,1264663.5
dbo:Artwork,456.5,42825.5,1288231.5
dbo:Asteroid,22.5,2593.0,101870.0
dbo:Automobile,1212.0,26426.5,768527.0
dbo:Award,1959.5,89982.0,1335792.0
dbo:Band,1405.5,68229.5,1336441.0
dbo:Bank,452.0,55887.0,1784283.5
dbo:BasketballTeam,760.0,32543.5,1012441.0
dbo:Beverage,433.0,55695.0,1584615.5
dbo:BodyOfWater,711.5,58330.5,1548777.0
dbo:Book,4748.5,159026.0,-
dbo:Bridge,551.5,42587.0,1295339.0
dbo:Building,2512.5,185902.0,-
dbo:BusCompany,359.0,32655.5,1138149.0
dbo:ChemicalCompound,762.5,44675.0,1254537.0
dbo:City,3965.5,176626.5,-
dbo:CityDistrict,903.0,101045.5,-
dbo:ClassicalMusicComposition,330.0,36145.5,1145216.5
dbo:ComedyGroup,443.5,51925.0,1568220.5
dbo:Comic,571.5,44765.0,1345503.5
dbo:ComicsCharacter,794.0,68852.0,-
dbo:Convention,1431.5,123944.0,-
dbo:Criminal,590.0,79591.0,-
dbo:CultivatedVariety,1015.0,40993.0,1091815.0
dbo:CyclingRace,488.0,6038.0,245381.5
dbo:CyclingTeam,443.0,18287.5,602957.5
dbo:Disease,1942.0,169976.5,-
dbo:Drug,525.0,28477.0,761954.0
dbo:Earthquake,0,44268.5,0
dbo:Election,2188.5,96016.5,-
dbo:Enzyme,179.0,10778.0,266299.0
dbo:EthnicGroup,4571.0,130792.0,-
dbo:EurovisionSongContestEntry,114.0,15217.5,733473.5
dbo:Event,1786.5,29647.0,902263.0
dbo:Film,1626.0,95951.5,-
dbo:FilmFestival,927.0,31467.0,976262.0
dbo:Food,855.0,156476.5,-
dbo:Game,393.0,27611.0,977030.0
dbo:HistoricBuilding,873.5,81597.5,-
dbo:HistoricPlace,551.5,58891.5,1709771.0
dbo:HockeyTeam,598.5,36142.0,932670.0
dbo:Holiday,711.5,86585.0,-
dbo:HorseRace,762.0,23023.5,799837.0
dbo:Hospital,0,30096.5,0
dbo:Hotel,396.0,55939.5,1682210.5
dbo:HumanGene,340.5,17972.0,425308.5
dbo:InformationAppliance,575.5,24198.0,724526.5
dbo:Lake,629.5,53744.0,1410380.0
dbo:Legislature,963.5,12539.5,391801.0
dbo:Magazine,1324.5,103161.0,-
dbo:Manga,581.5,29266.0,896991.5
dbo:MilitaryConflict,3076.5,65674.0,993325.0
dbo:MilitaryUnit,1224.0,80065.0,-
dbo:Monument,625.0,72556.0,-
dbo:Museum,1336.0,117248.0,-
dbo:Musical,0,41260.0,0
dbo:MusicalArtist,2750.5,116098.5,-
dbo:Newspaper,0,63092.5,0
dbo:Organisation,3068.0,61439.0,1168431.5
dbo:Pandemic,554.5,76720.0,-
dbo:Park,707.0,36085.5,1083075.5
dbo:PersonFunction,3077.5,106068.5,-
dbo:Pharaoh,326.5,24805.5,933862.0
dbo:Philosopher,639.0,49112.0,1269791.0
dbo:Planet,1179.0,67572.5,1265896.0
dbo:Plant,1535.0,15084.0,457649.5
dbo:Play,581.5,51381.5,1501530.5
dbo:PoliticalFunction,0,0,0
dbo:PoliticalParty,1313.0,20492.0,591722.0
dbo:Politician,0,76819.5,0
dbo:ProgrammingLanguage,961.0,52205.0,70000.0
dbo:ProtectedArea,744.0,33531.5,951938.5
dbo:Protein,524.5,31800.0,998352.0
dbo:RacingDriver,1212.0,26426.5,768527.0
dbo:RadioHost,166.5,20997.0,853767.5
dbo:RadioProgram,1205.0,75298.5,-
dbo:RadioStation,0,55200.0,0
dbo:RailwayLine,1338.0,38282.0,952508.0
dbo:RecordLabel,1301.0,46957.5,1026734.5
dbo:Religious,505.0,41218.5,1137268.0
dbo:Reptile,525.5,35855.5,1087583.0
dbo:ResearchProject,154.5,13785.0,535313.5
dbo:Restaurant,210.5,29417.5,1132586.5
dbo:Road,0,28987.0,0
dbo:RoadJunction,438.0,45284.0,1443903.0
dbo:RollerCoaster,294.0,10317.0,487647.0
dbo:Royalty,775.0,60781.5,540000.0
dbo:RugbyClub,472.0,27341.0,842726.5
dbo:RugbyPlayer,556.0,50724.0,1242838.0
dbo:Sales,0,0,0
dbo:Settlement,2050.0,112544.0,-
dbo:Ship,954.5,51168.0,1327058.0
dbo:ShoppingMall,192.5,16505.5,747919.0
dbo:SoccerClub,1144.0,40522.5,1072878.0
