rdfs:type,depth_1,depth_2
dbo:Athlete,1016.6,29715.4
dbo:Animal,1212.3,31979.0
dbo:Work,1381.1,82577.0
dbo:Film,784.9,62387.0
dbo:MusicalWork,747.5,43511.0
dbo:Country,1365.7,118365.5
dbo:Street,0,0
dbo:Company,857.0,53303.6
dbo:Activity,341.2,33577.1
dbo:Name,536.8,37379.0
dbo:Person,1749.2,86771.6
dbo:Actor,237.3,24846.8
dbo:Place,1455.6,122634.2
dbo:Publisher,290.1,19014.5
dbo:Genre,579.2,53636.8
dbo:Language,709.8,58943.0
dbo:Department,0,0
dbo:Software,554.7,52258.4
dbo:School,878.0,157456.5
