rdfs:type,depth_1,depth_2,depth_3
dbo:Athlete,1144.2,27991.4,740069.6
dbo:Animal,0,22733.2,0
dbo:Work,1744.4,128576.2,-
dbo:Film,927.8,79551.8,-
dbo:MusicalWork,1182.8,41858.0,-
dbo:Country,1758.6,130111.2,-
dbo:Street,0,0,0
dbo:Company,1034.8,54901.4,-
dbo:Activity,441.8,41359.6,-
dbo:Name,1013.4,70298.2,-
dbo:Person,0,130873.2,0
dbo:Actor,410.4,47320.8,-
dbo:Place,2100.8,132933.2,-
dbo:Publisher,426.8,23780.2,-
dbo:Genre,960.6,85323.0,-
dbo:Language,926.2,68763.4,-
dbo:Department,0,0,0
dbo:Software,1006.4,94718.6,-
dbo:School,1082.0,173131.8,-
